GHZ;;;;;;;;;
FREQ.GHZ;;S11DB;S11A;S21DB;S21A;S12DB;S12A;S22DB;S22A
0;0;;;-21.06792;-0.2242152;;;;
0.001;1000000;-1.658856;-0.17165;-21.06792;-0.2242152;-21.11175;-0.188842;-29.75502;-179.301
0.001006209;1006209;-1.66184;-0.1687464;-21.06659;-0.2140341;-21.11218;-0.1753368;-29.73774;-179.2491
0.001012456;1012456;-1.661673;-0.1566188;-21.06503;-0.2490735;-21.11021;-0.1849604;-29.74181;-179.2625
0.001018743;1018743;-1.661003;-0.1599594;-21.0628;-0.238177;-21.11139;-0.1909964;-29.74434;-179.3001
0.001025068;1025068;-1.661532;-0.1823759;-21.07044;-0.2003065;-21.11048;-0.1850263;-29.74281;-179.347
0.001031432;1031432;-1.660906;-0.1757075;-21.07304;-0.2088307;-21.11083;-0.1918177;-29.75518;-179.2746
0.001037836;1037836;-1.659482;-0.1763124;-21.07055;-0.1787423;-21.10962;-0.1708928;-29.75315;-179.3072
0.00104428;1044280;-1.661279;-0.1716956;-21.07109;-0.2963745;-21.10894;-0.1731767;-29.74235;-179.2458
0.001050764;1050764;-1.661142;-0.1693316;-21.06783;-0.1511647;-21.11224;-0.1823838;-29.73936;-179.2633
0.001057288;1057288;-1.66079;-0.1630949;-21.06501;-0.1447437;-21.11027;-0.1795587;-29.74376;-179.2215
0.001063853;1063853;-1.659126;-0.1689281;-21.06211;-0.2397805;-21.11247;-0.1928567;-29.743;-179.3335
0.001070458;1070458;-1.657512;-0.1782912;-21.064;-0.2197118;-21.10979;-0.1764889;-29.74134;-179.271
0.001077104;1077104;-1.66042;-0.1778399;-21.06498;-0.1957142;-21.10931;-0.1707367;-29.74733;-179.2646
0.001083792;1083792;-1.660993;-0.1793521;-21.07007;-0.2151031;-21.11044;-0.188939;-29.75265;-179.2718
0.001090521;1090521;-1.661406;-0.1789469;-21.06357;-0.2591572;-21.11063;-0.2081776;-29.74879;-179.2583
0.001097292;1097292;-1.661302;-0.1757804;-21.06326;-0.2218087;-21.11049;-0.1777998;-29.74575;-179.1678
0.001104105;1104105;-1.660817;-0.1861546;-21.06412;-0.2464129;-21.11169;-0.1942467;-29.74608;-179.2153
0.00111096;1110960;-1.659603;-0.1957098;-21.06258;-0.2295481;-21.10878;-0.200168;-29.74324;-179.2548
0.001117858;1117858;-1.660701;-0.1878401;-21.0666;-0.299389;-21.10879;-0.1891207;-29.73696;-179.2734
0.001124799;1124799;-1.660719;-0.1673913;-21.0627;-0.2249301;-21.11201;-0.1846128;-29.74373;-179.2229
0.001131782;1131782;-1.657998;-0.1742377;-21.06138;-0.2714469;-21.11007;-0.2042488;-29.74729;-179.2213
0.001138809;1138809;-1.659968;-0.1970802;-21.0623;-0.1874804;-21.10933;-0.1914646;-29.74775;-179.1003
0.00114588;1145880;-1.659391;-0.1884755;-21.06605;-0.1665346;-21.10889;-0.1803542;-29.74775;-179.1844
0.001152995;1152995;-1.659779;-0.1789507;-21.06469;-0.3082922;-21.11213;-0.1675283;-29.74015;-179.1699
0.001160153;1160153;-1.659969;-0.1908077;-21.06073;-0.2146152;-21.11119;-0.1786241;-29.74759;-179.2066
0.001167357;1167357;-1.661739;-0.1862205;-21.06426;-0.1895315;-21.10993;-0.1907969;-29.7448;-179.1968
0.001174605;1174605;-1.660776;-0.1803586;-21.06295;-0.2280569;-21.10877;-0.2097276;-29.74522;-179.145
0.001181898;1181898;-1.65947;-0.1872827;-21.0628;-0.2948565;-21.10833;-0.1892338;-29.74001;-179.1894
0.001189236;1189236;-1.65927;-0.1942172;-21.06;-0.2224162;-21.10807;-0.1852114;-29.74035;-179.1886
0.00119662;1196620;-1.658671;-0.1806039;-21.06693;-0.2095366;-21.10778;-0.1906596;-29.74778;-179.2127
0.001204049;1204049;-1.660594;-0.2036521;-21.06622;-0.1834882;-21.1084;-0.2042905;-29.74772;-179.1303
0.001211525;1211525;-1.659523;-0.2032518;-21.06061;-0.2936782;-21.1093;-0.207458;-29.74193;-179.1137
0.001219047;1219047;-1.661864;-0.1920019;-21.06769;-0.2417031;-21.10892;-0.1912011;-29.72777;-179.1469
0.001226616;1226616;-1.660841;-0.2024221;-21.0655;-0.3025927;-21.10927;-0.1929289;-29.73871;-179.0771
0.001234232;1234232;-1.661187;-0.202456;-21.06934;-0.1954964;-21.10973;-0.1964058;-29.74496;-179.1198
0.001241895;1241895;-1.658284;-0.2062848;-21.06182;-0.2160196;-21.10893;-0.1930162;-29.73995;-179.092
0.001249606;1249606;-1.660228;-0.2005118;-21.06164;-0.2512954;-21.10898;-0.2052957;-29.72841;-179.1008
0.001257365;1257365;-1.660136;-0.2113418;-21.06071;-0.2515841;-21.10897;-0.210909;-29.73706;-179.0873
0.001265172;1265172;-1.658645;-0.1999688;-21.06133;-0.2221577;-21.11004;-0.2083146;-29.74478;-179.0661
0.001273027;1273027;-1.660666;-0.2122698;-21.06484;-0.3014921;-21.10941;-0.218918;-29.74634;-179.1037
0.001280931;1280931;-1.658659;-0.2042172;-21.06181;-0.2625379;-21.10981;-0.1991778;-29.74013;-179.1161
0.001288884;1288884;-1.659122;-0.2116539;-21.06579;-0.1900345;-21.10917;-0.2200125;-29.74148;-179.102
